File name,Formulae,Vertices,Edges,InRow Vertices,InRow Edges,TACO Vertices,TACO Edges,Max Dep Ref ,Max Dep,Longest Dep Ref,Longest Dep,RR-Chain-Comp,RR-Chain-NoComp,RR-Comp,RR-NoComp,RF-Comp,RF-NoComp,FR-Comp,FR-NoComp,FF-Comp,FF-NoComp,RR-GapOne,RR-GapOne-NoComp,RR-GapTwo,RR-GapTwo-NoComp,RR-GapThree,RR-GapThree-NoComp,RR-GapFour,RR-GapFour-NoComp,RR-GapFive,RR-GapFive-NoComp,RR-GapSix,RR-GapSix-NoComp,RR-GapSeven,RR-GapSeven-NoComp,NoType,NoType-NoComp
tracy_geaccone_000_1_1.pst.172.xls,16,32,16,10,5,4,2,Sheet1:E12,3,Sheet1:D17,2,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tracy_geaccone_000_1_1.pst.178.xls,532,1119,1421,476,595,247,182,ICAprest:AK18,100,ICAprest:AK12,7,0,0,72,1021,2,4,0,0,22,268,2,12,5,10,16,41,2,4,0,0,0,0,0,0,61,61
tracy_geaccone_000_1_1.pst.181.xls,52,105,103,96,98,17,11,Cash Flow:P7,25,Cash Flow:K11,3,0,0,8,85,0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
tracy_geaccone_000_1_1.pst.184.xls,1387,3344,3079,2605,2493,958,583,twbs:E15,16,tpami2_CorpDiff:D50,5,0,0,151,880,2,4,0,0,1,2,178,1589,21,42,118,346,19,38,23,59,14,28,35,70,21,21
tracy_geaccone_000_1_1.pst.185.xls,185,451,324,238,166,158,101,July01:D74,4,July01:D46,3,2,4,38,198,0,0,0,0,0,0,24,69,0,0,0,0,7,14,7,14,0,0,2,4,21,21
tracy_geaccone_000_1_1.pst.186.xls,1080,845,424,588,304,149,76,FGT:R12,3,FGT:P6,2,0,0,34,349,0,0,0,0,0,0,16,32,0,0,3,6,0,0,0,0,0,0,14,28,9,9
tracy_geaccone_000_1_1.pst.189.xls,48,84,83,73,77,32,21,3rdCE Cash Flow:I7,24,3rdCE Cash Flow:I7,13,1,10,3,30,0,0,0,0,1,12,7,14,4,12,0,0,0,0,0,0,0,0,0,0,5,5
tracy_geaccone_000_1_1.pst.19.xls,68,130,102,84,74,73,54,Detail:F55,5,Detail:D28,4,0,0,9,39,0,0,0,0,0,0,7,14,2,4,2,5,4,8,0,0,2,4,0,0,28,28
tracy_geaccone_000_1_1.pst.190.xls,37,58,55,58,55,18,11,COSTS:D16,5,COSTS:D16,3,0,0,0,0,0,0,0,0,1,2,7,50,0,0,0,0,0,0,0,0,0,0,0,0,3,3
tracy_geaccone_000_1_1.pst.191.xls,356,557,519,437,417,137,83,Cashflow:H30,139,Cashflow:H26,46,2,22,41,396,0,0,0,0,13,26,0,0,0,0,0,0,0,0,0,0,0,0,24,72,3,3
tracy_geaccone_000_1_1.pst.192.xls,1250,2379,1930,1697,1319,484,335,Format:D82,34,Prepay_Exp:E12,12,0,0,145,846,0,0,0,0,0,0,95,944,3,6,25,50,3,6,8,20,0,0,2,4,54,54
tracy_geaccone_000_1_1.pst.193.xls,66,124,62,76,38,26,13,QtrsPlan:J11,7,QtrsPlan:I7,4,0,0,3,32,0,0,0,0,0,0,5,22,1,2,1,2,0,0,1,2,0,0,0,0,2,2
tracy_geaccone_000_1_1.pst.195.xls,36,67,34,65,33,17,9,Reserves:D11,5,Reserves:F11,3,0,0,1,12,0,0,0,0,0,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,3,3
tracy_geaccone_000_1_1.pst.196.xls,15,30,15,16,9,12,6,PGH-PVC:B14,3,PGH-PVC:B14,2,0,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tracy_geaccone_000_1_1.pst.197.xls,9385,17144,16606,4706,5176,4418,2954,EREC-EREC4:E33,86,EREC-EREC4:E70,30,0,0,1170,12670,0,0,0,0,0,0,276,1283,15,30,101,860,168,336,168,336,0,0,21,42,1035,1035
tracy_geaccone_000_1_1.pst.198.xls,9385,17144,16606,4706,5176,4418,2954,EREC-EREC4:E33,86,EREC-EREC4:E70,30,0,0,1170,12670,0,0,0,0,0,0,276,1283,15,30,101,860,168,336,168,336,0,0,21,42,1035,1035
tracy_geaccone_000_1_1.pst.201.xls,81,164,111,118,88,37,23,consolid & recorded GW scheds.:S19,5,consolid & recorded GW scheds.:M26,3,0,0,3,26,0,0,0,0,0,0,16,81,0,0,0,0,0,0,0,0,0,0,0,0,4,4
tracy_geaccone_000_1_1.pst.202.xls,440,690,799,450,531,155,112,Sheet2:H33,71,Sheet1:M37,6,0,0,19,440,0,0,0,0,12,188,40,110,2,4,14,28,1,2,3,6,0,0,0,0,21,21
tracy_geaccone_000_1_1.pst.203.xls,86,171,169,9,7,8,5,Pivot table:G15,5,Pivot table:F11,3,0,0,5,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tracy_geaccone_000_1_1.pst.204.xls,49,55,70,60,66,51,34,Sheet1:C9,19,Sheet1:C9,4,0,0,4,8,0,0,0,0,0,0,20,44,8,16,0,0,0,0,0,0,0,0,0,0,2,2
tracy_geaccone_000_1_1.pst.208.xls,27,55,46,55,46,24,21,STAFFING BY EMPLOYEE STATUS:H11,6,STAFFING BY EMPLOYEE STATUS:H18,3,0,0,4,16,0,0,0,0,0,0,13,26,0,0,0,0,0,0,0,0,0,0,0,0,4,4
tracy_geaccone_000_1_1.pst.209.xls,313,527,464,112,83,104,69,Expenses-YTD Aug 2001:F33,20,Expenses-YTD Aug 2001:D13,5,0,0,32,413,0,0,0,0,0,0,8,17,1,2,0,0,4,8,0,0,0,0,0,0,24,24
