Spreadsheet name,Total edges,Total formulae,Total nodes,TACO edges,TACO formulae,TACO nodes,Type0 edges,Type0 uncompressed edges,Type1 edges,Type1 uncompressed edges,Type2 edges,Type2 uncompressed edges,Type3 edges,Type3 uncompressed edges,Type4 edges,Type4 uncompressed edges,Type5 edges,Type5 uncompressed edges,Notype edges,Notype nodes,Deduplicated Edges
barry_tycholiz_000_1_1.pst.44.xls,2123,949,3072,638,294,557,0,0,538,2019,0,0,0,0,0,0,4,8,96,96,2123
barry_tycholiz_000_1_1.pst.45.xls,234,112,346,73,36,80,0,0,56,214,0,0,0,0,0,0,3,6,14,14,234
barry_tycholiz_000_1_1.pst.56.xls,47,22,69,16,8,24,1,2,9,30,0,0,0,0,6,15,0,0,0,0,47
barry_tycholiz_000_1_1.pst.59.xls,50,34,84,21,19,38,0,0,4,26,0,0,0,0,1,8,0,0,16,16,50
barry_tycholiz_000_1_1.pst.65.xls,16,10,26,9,6,13,0,0,7,14,0,0,0,0,0,0,0,0,2,2,16
barry_tycholiz_000_1_1.pst.66.xls,35,35,70,3,3,4,0,0,2,34,0,0,0,0,0,0,0,0,1,1,35
barry_tycholiz_000_1_1.pst.68.xls,3377,1705,5082,95,62,118,1,84,67,3132,0,0,0,0,17,34,0,0,10,10,3260
barry_tycholiz_000_1_1.pst.70.xls,296,296,592,5,5,9,0,0,3,294,0,0,0,0,0,0,0,0,2,2,296
barry_tycholiz_000_1_1.pst.71.xls,104,104,208,6,6,10,0,0,2,100,0,0,0,0,0,0,0,0,4,4,104
barry_tycholiz_000_1_1.pst.72.xls,104,104,208,6,6,10,0,0,2,100,0,0,0,0,0,0,0,0,4,4,104
barry_tycholiz_000_1_1.pst.75.xls,80,31,111,13,6,19,0,0,11,78,0,0,0,0,0,0,0,0,2,2,80
barry_tycholiz_000_1_1.pst.77.xls,22281,10947,33228,86,51,96,1,2,58,10234,0,0,0,0,14,9956,1,2,12,12,20206
barry_tycholiz_000_1_1.pst.80.xls,146,76,222,25,14,27,0,0,13,134,0,0,0,0,0,0,0,0,12,12,146
benjamin_rogers_000_1_1.pst.10.xls,311,259,570,64,60,118,1,30,11,229,0,0,0,0,0,0,0,0,52,52,311
benjamin_rogers_000_1_1.pst.100.xls,311,259,570,64,60,118,1,30,11,229,0,0,0,0,0,0,0,0,52,52,311
benjamin_rogers_000_1_1.pst.101.xls,307,301,608,40,37,74,0,0,35,302,0,0,0,0,0,0,0,0,5,5,307
benjamin_rogers_000_1_1.pst.103.xls,1561,714,2275,153,80,157,1,6,80,715,0,0,0,0,72,504,0,0,0,0,1225
benjamin_rogers_000_1_1.pst.104.xls,19890,4196,24086,1500,615,1976,61,683,1058,18784,0,0,0,0,4,14,31,62,346,346,19889
benjamin_rogers_000_1_1.pst.106.xls,3658,1655,5313,52,38,78,2,222,20,2475,0,0,0,0,28,104,0,0,2,2,2803
benjamin_rogers_000_1_1.pst.109.xls,183,111,294,82,58,137,24,48,24,48,0,0,0,0,31,84,0,0,3,3,183
benjamin_rogers_000_1_1.pst.110.xls,169,97,266,74,50,123,24,48,24,48,0,0,0,0,25,72,0,0,1,1,169
benjamin_rogers_000_1_1.pst.112.xls,261,188,449,99,81,152,3,18,28,126,0,0,0,0,25,74,0,0,43,43,261
benjamin_rogers_000_1_1.pst.113.xls,37,25,62,26,18,37,0,0,1,3,1,2,0,0,0,0,2,10,22,22,37
benjamin_rogers_000_1_1.pst.114.xls,1326,724,2050,199,154,277,21,231,79,933,1,3,0,0,5,55,8,16,85,85,1323
benjamin_rogers_000_1_1.pst.116.xls,8027,4466,12493,1307,946,1721,81,357,595,4838,8,147,0,0,448,1596,45,90,130,130,7158
benjamin_rogers_000_1_1.pst.117.xls,116,96,212,34,27,47,1,4,16,95,0,0,0,0,0,0,0,0,17,17,116
benjamin_rogers_000_1_1.pst.12.xls,27836,27674,55510,64,46,106,0,0,56,27828,0,0,0,0,0,0,0,0,8,8,27836
benjamin_rogers_000_1_1.pst.123.xls,1083,503,1586,52,33,64,7,197,26,579,0,0,0,0,11,238,0,0,8,8,1022
benjamin_rogers_000_1_1.pst.124.xls,54,18,72,18,6,24,0,0,18,54,0,0,0,0,0,0,0,0,0,0,54
benjamin_rogers_000_1_1.pst.126.xls,13,13,26,4,4,8,0,0,4,13,0,0,0,0,0,0,0,0,0,0,13
benjamin_rogers_000_1_1.pst.127.xls,198,123,321,72,60,126,0,0,22,148,0,0,0,0,0,0,0,0,50,50,198
benjamin_rogers_000_1_1.pst.128.xls,47,30,77,40,33,56,0,0,0,0,0,0,0,0,0,0,4,10,36,36,46
benjamin_rogers_000_1_1.pst.129.xls,47,30,77,41,34,57,0,0,0,0,0,0,0,0,0,0,4,10,37,37,47
benjamin_rogers_000_1_1.pst.13.xls,224,216,440,16,14,30,0,0,16,224,0,0,0,0,0,0,0,0,0,0,224
benjamin_rogers_000_1_1.pst.130.xls,47,30,77,40,33,56,0,0,0,0,0,0,0,0,0,0,4,10,36,36,46
benjamin_rogers_000_1_1.pst.131.xls,74,41,115,30,17,33,0,0,22,66,0,0,0,0,0,0,0,0,8,8,74
benjamin_rogers_000_1_1.pst.135.xls,478,225,703,170,101,136,3,66,4,8,0,0,0,0,124,360,3,8,36,36,478
benjamin_rogers_000_1_1.pst.137.xls,720,394,1114,146,107,198,0,0,66,638,0,0,0,0,0,0,2,4,78,78,720
benjamin_rogers_000_1_1.pst.14.xls,365,193,558,33,19,48,0,0,32,364,0,0,0,0,0,0,0,0,1,1,365
benjamin_rogers_000_1_1.pst.140.xls,17456,7930,25386,791,415,595,13,542,753,13715,0,0,0,0,12,2440,0,0,13,13,16710
benjamin_rogers_000_1_1.pst.141.xls,862,322,1184,203,126,221,0,0,137,580,0,0,0,0,64,200,0,0,2,2,782
benjamin_rogers_000_1_1.pst.144.xls,305,180,485,221,209,243,0,0,2,4,0,0,0,0,49,99,2,34,168,168,305
benjamin_rogers_000_1_1.pst.145.xls,300,180,480,215,210,239,1,2,2,4,0,0,0,0,49,99,2,34,161,161,300
benjamin_rogers_000_1_1.pst.146.xls,256,150,406,170,145,195,24,48,13,44,3,6,0,0,25,51,0,0,105,105,254
benjamin_rogers_000_1_1.pst.147.xls,866,441,1307,90,55,109,1,24,65,636,0,0,0,0,10,177,7,22,7,7,866
benjamin_rogers_000_1_1.pst.153.xls,13,7,20,5,3,6,0,0,2,6,0,0,0,0,2,6,0,0,1,1,13
benjamin_rogers_000_1_1.pst.155.xls,13,7,20,5,3,7,0,0,2,6,0,0,0,0,2,6,0,0,1,1,13
benjamin_rogers_000_1_1.pst.156.xls,49,32,81,10,7,15,0,0,9,48,0,0,0,0,0,0,0,0,1,1,49
benjamin_rogers_000_1_1.pst.158.xls,640,400,1040,102,68,105,0,0,70,518,0,0,0,0,30,120,0,0,2,2,640
benjamin_rogers_000_1_1.pst.159.xls,15,15,30,3,3,6,0,0,3,15,0,0,0,0,0,0,0,0,0,0,15
benjamin_rogers_000_1_1.pst.16.xls,6465,3798,10263,28,17,39,1,422,27,6043,0,0,0,0,0,0,0,0,0,0,6465
benjamin_rogers_000_1_1.pst.160.xls,356,213,569,27,19,30,1,20,16,326,0,0,0,0,0,0,0,0,10,10,356
benjamin_rogers_000_1_1.pst.161.xls,108,78,186,7,5,11,2,47,1,29,0,0,0,0,1,29,0,0,3,3,108
benjamin_rogers_000_1_1.pst.163.xls,424,304,728,32,24,52,8,176,4,116,0,0,0,0,4,116,0,0,16,16,424
benjamin_rogers_000_1_1.pst.164.xls,298,159,457,47,35,78,1,20,20,227,0,0,0,0,0,0,11,22,15,15,284
benjamin_rogers_000_1_1.pst.165.xls,1383,831,2214,250,189,305,22,122,127,983,0,0,0,0,48,150,23,46,30,30,1331
benjamin_rogers_000_1_1.pst.167.xls,1016,521,1537,199,103,282,25,77,137,878,0,0,0,0,24,48,0,0,13,13,1016
benjamin_rogers_000_1_1.pst.168.xls,866,441,1307,90,55,109,1,24,65,636,0,0,0,0,10,177,7,22,7,7,866
benjamin_rogers_000_1_1.pst.169.xls,47857,30645,78502,7599,6072,10275,611,3714,3707,33052,0,0,0,0,1780,7922,677,1354,824,824,46866
benjamin_rogers_000_1_1.pst.17.xls,311,259,570,64,60,118,1,30,11,229,0,0,0,0,0,0,0,0,52,52,311
benjamin_rogers_000_1_1.pst.170.xls,30670,19741,50411,4751,3774,6422,375,2251,2345,21636,0,0,0,0,1095,4962,389,778,547,547,30174
benjamin_rogers_000_1_1.pst.171.xls,3336,1941,5277,536,350,631,13,133,245,2375,16,175,0,0,16,175,86,318,160,160,3336
benjamin_rogers_000_1_1.pst.173.xls,3336,1941,5277,536,350,631,13,133,245,2375,16,175,0,0,16,175,86,318,160,160,3336
benjamin_rogers_000_1_1.pst.19.xls,365,193,558,33,19,48,0,0,32,364,0,0,0,0,0,0,0,0,1,1,365
benjamin_rogers_000_1_1.pst.197.xls,24,24,48,6,6,12,0,0,6,24,0,0,0,0,0,0,0,0,0,0,24
benjamin_rogers_000_1_1.pst.20.xls,889,714,1603,105,80,178,1,6,104,883,0,0,0,0,0,0,0,0,0,0,889
benjamin_rogers_000_1_1.pst.200.xls,24,24,48,6,6,12,0,0,6,24,0,0,0,0,0,0,0,0,0,0,24
benjamin_rogers_000_1_1.pst.203.xls,102,72,174,77,51,118,23,46,0,0,0,0,0,0,0,0,2,4,52,52,102
benjamin_rogers_000_1_1.pst.204.xls,32,22,54,21,15,31,0,0,1,3,1,2,0,0,0,0,2,10,17,17,32
benjamin_rogers_000_1_1.pst.205.xls,48,48,96,4,4,8,4,48,0,0,0,0,0,0,0,0,0,0,0,0,48
benjamin_rogers_000_1_1.pst.208.xls,102,72,174,77,51,118,23,46,0,0,0,0,0,0,0,0,2,4,52,52,102
benjamin_rogers_000_1_1.pst.209.xls,2075,1372,3447,322,232,494,0,0,206,1931,0,0,0,0,0,0,28,56,88,88,2075
benjamin_rogers_000_1_1.pst.21.xls,2302,1048,3350,604,394,661,1,7,214,1042,0,0,0,0,132,757,30,60,227,227,2093
benjamin_rogers_000_1_1.pst.210.xls,2095,1388,3483,323,232,495,0,0,206,1962,0,0,0,0,0,0,16,32,101,101,2095
benjamin_rogers_000_1_1.pst.211.xls,2083,1380,3463,317,234,493,0,0,199,1943,0,0,0,0,0,0,20,42,98,98,2083
